timestamp,latitude,longitude,speed_kmph,scenario,alert_level,alert_type,alert_message,maps_url
2026-06-14 17:55:30,28.612626,77.209535,35.23,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=35.23 km/h.,"https://maps.google.com/?q=28.612626,77.209535"
2026-06-14 17:55:30,28.613422,77.208113,56.36,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=56.36 km/h.,"https://maps.google.com/?q=28.613422,77.208113"
2026-06-14 17:55:30,28.614029,77.208392,35.21,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=35.21 km/h.,"https://maps.google.com/?q=28.614029,77.208392"
2026-06-14 17:55:30,28.61273,77.209437,57.5,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=57.5 km/h.,"https://maps.google.com/?q=28.61273,77.209437"
2026-06-14 17:55:30,28.613968,77.20748,51.4,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=51.4 km/h.,"https://maps.google.com/?q=28.613968,77.20748"
2026-06-14 17:55:30,28.614821,77.206409,21.66,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=21.66 km/h.,"https://maps.google.com/?q=28.614821,77.206409"
2026-06-14 17:55:30,28.615701,77.206858,54.82,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=54.82 km/h.,"https://maps.google.com/?q=28.615701,77.206858"
2026-06-14 17:55:30,28.616146,77.207956,45.11,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=45.11 km/h.,"https://maps.google.com/?q=28.616146,77.207956"
2026-06-14 17:55:30,28.614449,77.207393,37.48,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=37.48 km/h.,"https://maps.google.com/?q=28.614449,77.207393"
2026-06-14 17:55:30,28.612947,77.207804,39.48,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=39.48 km/h.,"https://maps.google.com/?q=28.612947,77.207804"
2026-06-14 17:55:30,28.614538,77.206852,30.55,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=30.55 km/h.,"https://maps.google.com/?q=28.614538,77.206852"
2026-06-14 17:55:30,28.615842,77.208148,20.77,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=20.77 km/h.,"https://maps.google.com/?q=28.615842,77.208148"
2026-06-14 17:55:30,28.61646,77.20699,26.12,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=26.12 km/h.,"https://maps.google.com/?q=28.61646,77.20699"
2026-06-14 17:55:30,28.615896,77.205242,20.4,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=20.4 km/h.,"https://maps.google.com/?q=28.615896,77.205242"
2026-06-14 17:55:30,28.61633,77.20632,33.12,Normal Movement,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=33.12 km/h.,"https://maps.google.com/?q=28.61633,77.20632"
2026-06-14 17:55:30,28.618874,77.213995,0.22,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=0.22 km/h.,"https://maps.google.com/?q=28.618874,77.213995"
2026-06-14 17:55:31,28.618874,77.213992,1.37,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=1.37 km/h.,"https://maps.google.com/?q=28.618874,77.213992"
2026-06-14 17:55:31,28.618872,77.214002,0.13,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=0.13 km/h.,"https://maps.google.com/?q=28.618872,77.214002"
2026-06-14 17:55:31,28.618926,77.214014,1.53,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=1.53 km/h.,"https://maps.google.com/?q=28.618926,77.214014"
2026-06-14 17:55:31,28.61889,77.213988,1.28,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=1.28 km/h.,"https://maps.google.com/?q=28.61889,77.213988"
2026-06-14 17:55:31,28.618898,77.213984,0.12,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=0.12 km/h.,"https://maps.google.com/?q=28.618898,77.213984"
2026-06-14 17:55:31,28.618888,77.213988,1.36,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=1.36 km/h.,"https://maps.google.com/?q=28.618888,77.213988"
2026-06-14 17:55:31,28.61891,77.214023,1.59,Vehicle Parked,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=1.59 km/h.,"https://maps.google.com/?q=28.61891,77.214023"
2026-06-14 17:55:31,28.624755,77.21937,114.9,Theft Detected,CRITICAL,OVER_SPEED,Vehicle speed (114.9 km/h) exceeds threshold (80 km/h). Possible theft!,"https://maps.google.com/?q=28.624755,77.21937"
2026-06-14 17:55:31,28.632014,77.226937,105.73,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 2.6687 km. Location: 28.632014, 77.226937","https://maps.google.com/?q=28.632014,77.226937"
2026-06-14 17:55:31,28.637539,77.234588,114.17,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 3.6258 km. Location: 28.637539, 77.234588","https://maps.google.com/?q=28.637539,77.234588"
2026-06-14 17:55:31,28.644693,77.242461,123.07,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 4.7317 km. Location: 28.644693, 77.242461","https://maps.google.com/?q=28.644693,77.242461"
2026-06-14 17:55:31,28.652148,77.249879,101.24,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 5.8314 km. Location: 28.652148, 77.249879","https://maps.google.com/?q=28.652148,77.249879"
2026-06-14 17:55:31,28.658,77.256362,127.58,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 6.7388 km. Location: 28.658, 77.256362","https://maps.google.com/?q=28.658,77.256362"
2026-06-14 17:55:31,28.662886,77.263402,127.25,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 7.6064 km. Location: 28.662886, 77.263402","https://maps.google.com/?q=28.662886,77.263402"
2026-06-14 17:55:31,28.669661,77.27084,102.94,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 8.6524 km. Location: 28.669661, 77.27084","https://maps.google.com/?q=28.669661,77.27084"
2026-06-14 17:55:31,28.67583,77.275055,115.67,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 9.4325 km. Location: 28.67583, 77.275055","https://maps.google.com/?q=28.67583,77.275055"
2026-06-14 17:55:31,28.680488,77.279964,90.09,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 10.1379 km. Location: 28.680488, 77.279964","https://maps.google.com/?q=28.680488,77.279964"
2026-06-14 17:55:31,28.688055,77.284261,126.76,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 11.0419 km. Location: 28.688055, 77.284261","https://maps.google.com/?q=28.688055,77.284261"
2026-06-14 17:55:31,28.693103,77.291692,102.88,Theft Detected,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 11.9444 km. Location: 28.693103, 77.291692","https://maps.google.com/?q=28.693103,77.291692"
2026-06-14 17:55:31,28.6199,77.215,47.35,Geofence Breach,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=47.35 km/h.,"https://maps.google.com/?q=28.6199,77.215"
2026-06-14 17:55:32,28.6259,77.221,53.2,Geofence Breach,SAFE,ALL_CLEAR,Vehicle operating normally. Speed=53.2 km/h.,"https://maps.google.com/?q=28.6259,77.221"
2026-06-14 17:55:32,28.6319,77.227,68.24,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 2.6632 km. Location: 28.6319, 77.227","https://maps.google.com/?q=28.6319,77.227"
2026-06-14 17:55:32,28.6379,77.233,48.79,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 3.5509 km. Location: 28.6379, 77.233","https://maps.google.com/?q=28.6379,77.233"
2026-06-14 17:55:32,28.6439,77.239,45.03,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 4.4386 km. Location: 28.6439, 77.239","https://maps.google.com/?q=28.6439,77.239"
2026-06-14 17:55:32,28.6499,77.245,47.63,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 5.3262 km. Location: 28.6499, 77.245","https://maps.google.com/?q=28.6499,77.245"
2026-06-14 17:55:32,28.6559,77.251,45.89,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 6.2139 km. Location: 28.6559, 77.251","https://maps.google.com/?q=28.6559,77.251"
2026-06-14 17:55:32,28.6619,77.257,54.31,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 7.1015 km. Location: 28.6619, 77.257","https://maps.google.com/?q=28.6619,77.257"
2026-06-14 17:55:32,28.6679,77.263,60.16,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 7.9891 km. Location: 28.6679, 77.263","https://maps.google.com/?q=28.6679,77.263"
2026-06-14 17:55:32,28.6739,77.269,58.46,Geofence Breach,CRITICAL,GEOFENCE_BREACH,"Vehicle has left the safe zone! Distance from centre: 8.8766 km. Location: 28.6739, 77.269","https://maps.google.com/?q=28.6739,77.269"
